epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,350.264,0.94546,3.32747,1.28711,0.01145,0.87225,0.16074,0.12441,0.65206,3.70508,1.17557,0.00016665,0.00016665,0.00016665
2,604.149,0.88615,2.37882,1.23725,0.08119,0.50762,0.19796,0.15124,0.72089,3.51625,1.24955,0.000344074,0.000344074,0.000344074
3,848.711,0.91263,2.01386,1.27886,0.70937,0.30874,0.30217,0.22038,0.90164,3.13329,1.42378,0.000520132,0.000520132,0.000520132
4,1100,0.82699,1.83997,1.21783,0.32272,0.36318,0.25584,0.15194,1.06859,3.14836,1.52774,0.000693793,0.000693793,0.000693793
5,1380.68,0.82267,1.71383,1.20531,0.67928,0.31872,0.40171,0.28753,0.88858,2.78617,1.44602,0.000864041,0.000864041,0.000864041
6,1629.57,0.86156,1.69215,1.21536,0.29752,0.59842,0.41257,0.26587,1.03398,3.71614,1.55367,0.00102988,0.00102988,0.00102988
7,1874.42,0.823,1.66654,1.20311,0.54817,0.37096,0.43421,0.29723,1.02346,2.61343,1.52872,0.00107238,0.00107238,0.00107238
8,2120.65,0.85229,1.55857,1.21451,0.36985,0.55544,0.47922,0.29752,1.08276,4.14227,1.73554,0.00105866,0.00105866,0.00105866
9,2375.75,1.03334,1.69324,1.33776,0.52313,0.47608,0.50629,0.3165,1.17572,2.94652,1.73148,0.00104298,0.00104298,0.00104298
10,2680.09,0.9994,1.61114,1.29789,0.59954,0.59002,0.58685,0.37394,1.0756,2.28026,1.57438,0.00102539,0.00102539,0.00102539
11,2940.25,0.91155,1.51542,1.25197,0.58991,0.47869,0.51724,0.31979,1.15103,2.53284,1.67335,0.00100597,0.00100597,0.00100597
12,3189.73,0.8073,1.45413,1.19965,0.70095,0.5406,0.60995,0.44779,0.86524,2.14611,1.33239,0.000984795,0.000984795,0.000984795
13,3441.71,0.89602,1.42361,1.2343,0.5872,0.69721,0.65548,0.46658,0.99053,2.21401,1.42127,0.000961948,0.000961948,0.000961948
14,3694.55,0.88406,1.33696,1.1965,0.73535,0.64184,0.68184,0.50063,0.90291,2.04232,1.36593,0.000937518,0.000937518,0.000937518
15,3941.19,0.76031,1.25146,1.12886,0.56172,0.62641,0.60814,0.43635,0.97879,2.20444,1.45215,0.000911603,0.000911603,0.000911603
16,4205.88,0.82931,1.33812,1.16328,0.67509,0.68896,0.73016,0.54263,0.89664,1.98497,1.39062,0.000884305,0.000884305,0.000884305
17,5554.06,0.76823,1.28678,1.1566,0.71594,0.68926,0.74269,0.54183,0.92957,1.87689,1.43369,0.00085573,0.00085573,0.00085573
18,6560.6,0.80777,1.2287,1.1491,0.8237,0.69564,0.78466,0.58665,0.82599,1.71983,1.32596,0.000825993,0.000825993,0.000825993
19,6844.44,0.67424,1.15958,1.103,0.82004,0.70612,0.8319,0.65645,0.77925,1.54309,1.24208,0.00079521,0.00079521,0.00079521
